date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
1/4/2021,1178,20,1377,14323,462,8,0,111,74,870,99,0,0,46,3,25,31,270,502734,244537
2/4/2021,1294,26,1442,14173,551,7,0,127,59,918,107,0,0,43,16,23,22,330,510317,267394
3/4/2021,1638,7,1449,14357,898,9,0,142,86,1276,98,0,0,111,4,19,15,624,512990,281975
4/4/2021,1349,7,1270,14430,654,8,0,131,71,890,95,0,0,105,7,18,197,254,518991,290910
5/4/2021,1070,9,1294,14202,367,10,0,124,63,781,91,0,0,97,1,26,14,116,528185,310286
6/4/2021,1300,24,1412,14087,563,10,1,126,96,881,74,0,9,70,0,35,144,176,539161,331919
7/4/2021,1139,13,1199,14025,450,17,0,132,64,814,124,4,1,179,13,8,27,156,551826,350145
8/4/2021,1285,17,1175,14129,438,11,1,94,81,1008,96,0,5,63,0,13,105,186,563872,364897
9/4/2021,1854,20,1247,14729,681,31,2,211,110,1348,172,0,2,190,0,32,58,241,571066,379224
10/4/2021,1510,5,1248,14988,466,13,2,169,107,1079,145,0,2,91,3,8,34,131,576637,389230
11/4/2021,1739,8,1216,15505,742,15,3,162,107,1298,139,0,2,141,0,25,56,339,589106,399911
12/4/2021,1317,12,1052,15759,456,9,0,126,82,914,141,0,0,71,0,3,8,236,614409,413829
13/4/2021,1767,9,1290,16231,668,7,2,176,89,1334,150,0,7,142,1,47,21,342,630498,421512
14/4/2021,1889,6,1485,16630,689,16,4,181,225,1216,165,0,28,116,1,59,94,235,651423,429204
15/4/2021,2148,19,1259,17515,896,10,5,196,237,1501,190,0,33,270,0,118,57,332,669507,438354
16/4/2021,2551,29,1524,18536,990,17,3,223,170,1953,177,0,34,93,0,446,82,227,685116,442273
17/4/2021,2331,12,1832,19024,659,22,3,241,322,1569,166,0,37,99,0,185,39,179,693676,443344
18/4/2021,2195,10,1427,19784,791,17,3,211,209,1518,168,0,19,74,0,183,18,356,699767,447092
19/4/2021,2078,13,1402,20450,628,13,3,207,263,1416,172,0,17,182,0,175,13,171,724409,455394
